Custom_Flutes_18-Nov-20_11:48:18 AM	Right_PQC1_VDPStrip_s
Temperature(C)= 21.1	Humidity(%)= 6.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-7.610E-3
-950.000E-6	-7.610E-3
-900.000E-6	-7.460E-3
-850.000E-6	-7.190E-3
-800.000E-6	-6.810E-3
-750.000E-6	-6.390E-3
-700.000E-6	-6.010E-3
-650.000E-6	-5.630E-3
-600.000E-6	-5.250E-3
-550.000E-6	-4.870E-3
-500.000E-6	-4.490E-3
-450.000E-6	-4.110E-3
-400.000E-6	-3.730E-3
-350.000E-6	-3.350E-3
-300.000E-6	-2.960E-3
-250.000E-6	-2.580E-3
-200.000E-6	-2.200E-3
-150.000E-6	-1.820E-3
-100.000E-6	-1.440E-3
-50.000E-6	-1.060E-3
0.000E+0	-680.000E-6
50.000E-6	-300.000E-6
100.000E-6	70.000E-6
150.000E-6	450.000E-6
200.000E-6	830.000E-6
250.000E-6	1.220E-3
300.000E-6	1.600E-3
350.000E-6	1.980E-3
400.000E-6	2.360E-3
450.000E-6	2.740E-3
500.000E-6	3.120E-3
550.000E-6	3.500E-3
600.000E-6	3.880E-3
650.000E-6	4.260E-3
700.000E-6	4.650E-3
750.000E-6	5.030E-3
800.000E-6	5.410E-3
850.000E-6	5.790E-3
900.000E-6	6.170E-3
950.000E-6	6.550E-3
1.000E-3	6.930E-3
